latitude,longitude,lith_combo,material_grp,env_group
46.749168,86.140282,carbonate_clastic,carbonate,marine
46.749168,86.140282,carbonate_clastic,carbonate,marine
46.749168,86.140282,carbonate_clastic,carbonate,marine
46.749168,86.140282,carbonate_clastic,carbonate,marine
46.749168,86.140282,carbonate_clastic,carbonate,marine
46.749168,86.140282,carbonate_clastic,carbonate,marine
46.749168,86.140282,carbonate_clastic,carbonate,marine
46.749168,86.140282,carbonate_clastic,carbonate,marine
46.749168,86.140282,carbonate_clastic,carbonate,marine
46.749168,86.140282,carbonate_clastic,carbonate,marine
46.749168,86.140282,carbonate_clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,carbonate_clastic,carbonate,marine
46.749168,86.140282,carbonate_clastic,carbonate,marine
46.749168,86.140282,carbonate_clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.749168,86.140282,clastic,carbonate,marine
46.583332,85.98333,carbonate,carbonate,marine
46.583332,85.98333,carbonate,carbonate,marine
46.583332,85.98333,carbonate,carbonate,marine
46.583332,85.98333,carbonate,carbonate,marine
46.583332,85.98333,carbonate,carbonate,marine
46.583332,85.98333,carbonate,carbonate,marine
40.516666,79.050003,carbonate,carbonate,marine
40.516666,79.050003,carbonate,carbonate,marine
40.516666,79.050003,carbonate,carbonate,marine
41.150002,80.25,carbonate,carbonate,marine
41.150002,80.25,carbonate,carbonate,marine
41.150002,80.25,carbonate,carbonate,marine
41.150002,80.25,carbonate,carbonate,marine
40.833332,79.666664,carbonate,carbonate,marine
40.833332,79.666664,carbonate,carbonate,marine
41.150002,80.25,carbonate,carbonate,marine
41.150002,80.25,carbonate,carbonate,marine
41.150002,80.25,carbonate,carbonate,marine
41.150002,80.25,carbonate,carbonate,marine
41.150002,80.25,carbonate,carbonate,marine
46.816666,66.616669,clastic,organic,marine
46.816666,66.616669,clastic,carbonate,marine
46.816666,66.616669,clastic,carbonate,marine
46.816666,66.616669,clastic,organic,marine
46.816666,66.616669,clastic,organic,marine
46.816666,66.616669,clastic,carbonate,marine
46.816666,66.616669,clastic,organic,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,86,clastic_carbonate,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,phosphate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
47,89,carbonate_clastic,carbonate,marine
